GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GAME_DATE,OFF_RATING,DEF_RATING,NET_RATING,OPP_TEAM_ID,OPP_TEAM_NAME,OPP_TEAM_ABBREVIATION,OPP_TEAM_CITY,OPP_OFF_RATING,OPP_DEF_RATING,OPP_NET_RATING,PTS_DIFF
0021600071,1610612761,Raptors,TOR,Toronto,240:00,0.476,0.214,0.169,0.295,0.438,0.17,0.136,0.245,2016-11-04,101.1,91.0,10.1,1610612748,Heat,MIA,Miami,91.0,101.1,-10.1,9.0
0021600072,1610612766,Hornets,CHA,Charlotte,240:00,0.477,0.279,0.152,0.152,0.454,0.241,0.152,0.143,2016-11-04,93.8,90.3,3.5,1610612751,Nets,BKN,Brooklyn,90.3,93.8,-3.5,4.0
0021600073,1610612752,Knicks,NYK,New York,240:00,0.567,0.236,0.054,0.289,0.488,0.321,0.138,0.341,2016-11-04,126.8,110.8,16.1,1610612741,Bulls,CHI,Chicago,110.8,126.8,-16.1,13.0
0021600074,1610612763,Grizzlies,MEM,Memphis,240:00,0.423,0.262,0.191,0.265,0.424,0.388,0.119,0.239,2016-11-04,88.3,98.5,-10.2,1610612746,Clippers,LAC,LA,98.5,88.3,10.2,-11.0
0021600075,1610612756,Suns,PHX,Phoenix,265:00,0.473,0.301,0.146,0.245,0.511,0.298,0.082,0.113,2016-11-04,102.5,101.5,0.9,1610612740,Pelicans,NOP,New Orleans,101.5,102.5,-0.9,1.0
0021600076,1610612757,Trail Blazers,POR,Portland,240:00,0.525,0.325,0.142,0.159,0.47,0.241,0.133,0.167,2016-11-04,106.7,97.1,9.5,1610612742,Mavericks,DAL,Dallas,97.1,106.7,-9.5,10.0
0021600077,1610612762,Jazz,UTA,Utah,240:00,0.444,0.3,0.128,0.184,0.482,0.265,0.116,0.214,2016-11-04,91.9,105.6,-13.7,1610612759,Spurs,SAS,San Antonio,105.6,91.9,13.7,-14.0
0021600078,1610612747,Lakers,LAL,Los Angeles,240:00,0.516,0.221,0.153,0.34,0.483,0.233,0.189,0.205,2016-11-04,112.2,91.7,20.6,1610612744,Warriors,GSW,Golden State,91.7,112.2,-20.6,20.0
0021600079,1610612760,Thunder,OKC,Oklahoma City,240:00,0.564,0.279,0.123,0.314,0.417,0.345,0.176,0.362,2016-11-05,114.8,95.1,19.7,1610612750,Timberwolves,MIN,Minnesota,95.1,114.8,-19.7,20.0
0021600080,1610612755,76ers,PHI,Philadelphia,240:00,0.54,0.138,0.163,0.116,0.484,0.198,0.154,0.216,2016-11-05,96.9,98.2,-1.3,1610612739,Cavaliers,CLE,Cleveland,98.2,96.9,1.3,-1.0
0021600081,1610612764,Wizards,WAS,Washington,240:00,0.43,0.198,0.122,0.298,0.455,0.346,0.101,0.222,2016-11-05,95.0,99.0,-4.0,1610612753,Magic,ORL,Orlando,99.0,95.0,4.0,-2.0
0021600082,1610612765,Pistons,DET,Detroit,240:00,0.518,0.262,0.142,0.22,0.367,0.213,0.156,0.296,2016-11-05,104.4,83.7,20.7,1610612743,Nuggets,DEN,Denver,83.7,104.4,-20.7,17.0
0021600083,1610612754,Pacers,IND,Indiana,240:00,0.605,0.14,0.126,0.229,0.468,0.316,0.189,0.317,2016-11-05,116.5,98.9,17.6,1610612741,Bulls,CHI,Chicago,98.9,116.5,-17.6,17.0
0021600084,1610612745,Rockets,HOU,Houston,240:00,0.506,0.153,0.248,0.279,0.576,0.282,0.195,0.295,2016-11-05,92.6,109.2,-16.6,1610612737,Hawks,ATL,Atlanta,109.2,92.6,16.6,-15.0
0021600085,1610612758,Kings,SAC,Sacramento,240:00,0.452,0.226,0.159,0.265,0.585,0.305,0.183,0.425,2016-11-05,96.4,125.8,-29.4,1610612749,Bucks,MIL,Milwaukee,125.8,96.4,29.4,-26.0
0021600086,1610612759,Spurs,SAS,San Antonio,240:00,0.473,0.338,0.161,0.171,0.566,0.154,0.091,0.175,2016-11-05,98.9,117.0,-18.1,1610612746,Clippers,LAC,LA,117.0,98.9,18.1,-24.0
0021600087,1610612762,Jazz,UTA,Utah,240:00,0.56,0.467,0.117,0.194,0.554,0.229,0.138,0.27,2016-11-06,120.8,115.5,5.2,1610612752,Knicks,NYK,New York,115.5,120.8,-5.2,5.0
0021600088,1610612757,Trail Blazers,POR,Portland,240:00,0.549,0.38,0.161,0.135,0.42,0.395,0.135,0.273,2016-11-06,107.7,97.8,9.8,1610612763,Grizzlies,MEM,Memphis,97.8,107.7,-9.8,6.0
0021600089,1610612761,Raptors,TOR,Toronto,240:00,0.399,0.369,0.066,0.277,0.468,0.397,0.123,0.302,2016-11-06,100.4,107.1,-6.7,1610612758,Kings,SAC,Sacramento,107.1,100.4,6.7,-5.0
0021600090,1610612749,Bucks,MIL,Milwaukee,265:00,0.402,0.146,0.256,0.2,0.426,0.136,0.161,0.192,2016-11-06,71.2,86.6,-15.4,1610612742,Mavericks,DAL,Dallas,86.6,71.2,15.4,-11.0
0021600091,1610612743,Nuggets,DEN,Denver,240:00,0.589,0.369,0.169,0.243,0.5,0.233,0.12,0.224,2016-11-06,115.3,106.7,8.6,1610612738,Celtics,BOS,Boston,106.7,115.3,-8.6,16.0
0021600092,1610612756,Suns,PHX,Phoenix,240:00,0.473,0.308,0.163,0.224,0.511,0.389,0.174,0.341,2016-11-06,97.9,108.8,-10.9,1610612747,Lakers,LAL,Los Angeles,108.8,97.9,10.9,-11.0
0021600093,1610612762,Jazz,UTA,Utah,240:00,0.571,0.235,0.107,0.233,0.448,0.286,0.188,0.205,2016-11-07,116.2,87.8,28.4,1610612755,76ers,PHI,Philadelphia,87.8,116.2,-28.4,25.0
0021600094,1610612764,Wizards,WAS,Washington,240:00,0.468,0.213,0.156,0.34,0.627,0.228,0.182,0.171,2016-11-07,103.1,115.2,-12.1,1610612745,Rockets,HOU,Houston,115.2,103.1,12.1,-8.0
0021600095,1610612754,Pacers,IND,Indiana,240:00,0.473,0.16,0.169,0.231,0.56,0.381,0.112,0.07,2016-11-07,93.8,113.9,-20.1,1610612766,Hornets,CHA,Charlotte,113.9,93.8,20.1,-22.0
0021600096,1610612753,Magic,ORL,Orlando,240:00,0.441,0.071,0.155,0.128,0.489,0.348,0.093,0.313,2016-11-07,82.8,115.9,-33.1,1610612741,Bulls,CHI,Chicago,115.9,82.8,33.1,-32.0
0021600097,1610612760,Thunder,OKC,Oklahoma City,240:00,0.488,0.2,0.179,0.256,0.393,0.262,0.128,0.245,2016-11-07,96.5,90.7,5.8,1610612748,Heat,MIA,Miami,90.7,96.5,-5.8,12.0
0021600098,1610612746,Clippers,LAC,LA,240:00,0.625,0.289,0.125,0.067,0.39,0.317,0.118,0.2,2016-11-07,119.1,87.8,31.4,1610612765,Pistons,DET,Detroit,87.8,119.1,-31.4,32.0
0021600099,1610612740,Pelicans,NOP,New Orleans,240:00,0.531,0.338,0.198,0.282,0.589,0.133,0.15,0.238,2016-11-07,105.1,115.7,-10.6,1610612744,Warriors,GSW,Golden State,115.7,105.1,10.6,-10.0
0021600100,1610612739,Cavaliers,CLE,Cleveland,240:00,0.429,0.253,0.058,0.25,0.574,0.296,0.191,0.297,2016-11-08,102.9,110.5,-7.6,1610612737,Hawks,ATL,Atlanta,110.5,102.9,7.6,-4.0
0021600101,1610612750,Timberwolves,MIN,Minnesota,240:00,0.489,0.304,0.16,0.283,0.632,0.342,0.203,0.161,2016-11-08,103.5,115.0,-11.6,1610612751,Nets,BKN,Brooklyn,115.0,103.5,11.6,-9.0
0021600102,1610612763,Grizzlies,MEM,Memphis,240:00,0.552,0.221,0.139,0.195,0.571,0.486,0.218,0.2,2016-11-08,107.6,106.0,1.6,1610612743,Nuggets,DEN,Denver,106.0,107.6,-1.6,1.0
0021600103,1610612757,Trail Blazers,POR,Portland,240:00,0.642,0.346,0.188,0.212,0.541,0.384,0.158,0.349,2016-11-08,116.6,119.2,-2.6,1610612756,Suns,PHX,Phoenix,119.2,116.6,2.6,3.0
0021600104,1610612747,Lakers,LAL,Los Angeles,240:00,0.551,0.179,0.182,0.216,0.585,0.183,0.12,0.216,2016-11-08,104.1,119.0,-14.9,1610612742,Mavericks,DAL,Dallas,119.0,104.1,14.9,-12.0
0021600105,1610612758,Kings,SAC,Sacramento,240:00,0.531,0.247,0.105,0.132,0.482,0.214,0.115,0.171,2016-11-08,107.6,98.0,9.6,1610612740,Pelicans,NOP,New Orleans,98.0,107.6,-9.6,8.0
0021600106,1610612752,Knicks,NYK,New York,240:00,0.533,0.185,0.134,0.214,0.487,0.342,0.177,0.146,2016-11-09,105.3,94.2,11.1,1610612751,Nets,BKN,Brooklyn,94.2,105.3,-11.1,14.0
0021600107,1610612764,Wizards,WAS,Washington,240:00,0.554,0.217,0.128,0.442,0.494,0.272,0.116,0.167,2016-11-09,125.8,98.2,27.6,1610612738,Celtics,BOS,Boston,98.2,125.8,-27.6,25.0
0021600108,1610612762,Jazz,UTA,Utah,240:00,0.512,0.22,0.149,0.238,0.512,0.354,0.091,0.122,2016-11-09,104.3,105.3,-1.0,1610612766,Hornets,CHA,Charlotte,105.3,104.3,1.0,-6.0
0021600109,1610612753,Magic,ORL,Orlando,240:00,0.494,0.353,0.095,0.255,0.592,0.299,0.073,0.27,2016-11-09,112.4,128.9,-16.5,1610612750,Timberwolves,MIN,Minnesota,128.9,112.4,16.5,-16.0
0021600110,1610612755,76ers,PHI,Philadelphia,265:00,0.558,0.2,0.154,0.217,0.594,0.222,0.148,0.175,2016-11-09,104.2,113.2,-9.0,1610612754,Pacers,IND,Indiana,113.2,104.2,9.0,-7.0
0021600111,1610612741,Bulls,CHI,Chicago,240:00,0.5,0.231,0.132,0.186,0.56,0.325,0.219,0.361,2016-11-09,100.7,109.6,-8.9,1610612737,Hawks,ATL,Atlanta,109.6,100.7,8.9,-8.0
